DATE,AVERAGE STOCK PRICE,AVERAGE HOUSE PRICE
1/1/2000,"1,372.31",112533.0188
2/1/2000,"1,384.70",112998.5579
3/1/2000,"1,449.81",113355.1248
4/1/2000,"1,433.26",113456.4132
5/1/2000,"1,421.32",113958.5905
6/1/2000,"1,454.79",114354.1988
7/1/2000,"1,465.70",115511.1486
8/1/2000,"1,475.68",116149.254
9/1/2000,"1,474.78",117137.9128
10/1/2000,"1,380.31",117791.0391
11/1/2000,"1,366.68",118565.3275
12/1/2000,"1,321.56",119233.2036
1/1/2001,"1,329.00",119728.0856
2/1/2001,"1,295.91",120410.8234
3/1/2001,"1,174.31",121285.0116
4/1/2001,"1,180.65",121902.1903
5/1/2001,"1,273.97",122668.982
6/1/2001,"1,244.83",123319.8967
7/1/2001,"1,202.66",124144.5553
8/1/2001,"1,175.57",124721.3969
9/1/2001,"1,050.08",125234.7413
10/1/2001,"1,068.69",125690.9805
11/1/2001,"1,108.85",126107.5568
12/1/2001,"1,144.06",126652.7976
1/1/2002,"1,129.32",126896.1779
2/1/2002,"1,102.28",127358.9234
3/1/2002,"1,140.31",127983.4624
4/1/2002,"1,105.66",128697.3495
5/1/2002,"1,077.83",129429.1985
6/1/2002,"1,011.87",130123.135
7/1/2002,885.16,131007.8937
8/1/2002,899.14,131413.7453
9/1/2002,862.12,131833.7108
10/1/2002,838.09,132426.3294
11/1/2002,906.96,133518.3927
12/1/2002,911.88,133845.3968
1/1/2003,887.67,134157.2288
2/1/2003,835.5,134744.9319
3/1/2003,842.42,135315.9096
4/1/2003,886.1,136071.779
5/1/2003,934.14,136630.4611
6/1/2003,989.43,137320.3673
7/1/2003,988.75,138501.9245
8/1/2003,985.93,140396.6732
9/1/2003,"1,015.33",140760.5077
10/1/2003,"1,024.88",141938.6528
11/1/2003,"1,047.43",142614.0873
12/1/2003,"1,082.99",143214.8674
1/1/2004,"1,130.23",143648.3842
2/1/2004,"1,141.71",144334.6832
3/1/2004,"1,125.15",145094.2981
4/1/2004,"1,128.90",146423.409
5/1/2004,"1,102.03",148182.2441
6/1/2004,"1,129.83",150052.9141
7/1/2004,"1,109.81",150604.2507
8/1/2004,"1,085.96",152447.3667
9/1/2004,"1,115.33",153661.3111
10/1/2004,"1,116.12",154833.8689
11/1/2004,"1,158.00",156506.6114
12/1/2004,"1,195.55",157502.1659
1/1/2005,"1,190.83",157968.6545
2/1/2005,"1,196.70",155391.6182
3/1/2005,"1,196.40",153686.4737
4/1/2005,"1,164.02",153468.789
5/1/2005,"1,172.87",155074.187
6/1/2005,"1,203.95",156697.3775
7/1/2005,"1,214.35",158051.7364
8/1/2005,"1,223.47",159009.3201
9/1/2005,"1,224.24",160655.723
10/1/2005,"1,200.77",162007.4398
11/1/2005,"1,235.86",162642.8771
12/1/2005,"1,261.20",163202.5779
1/1/2006,"1,270.32",163930.442
2/1/2006,"1,275.59",164959.5617
3/1/2006,"1,289.65",165527.4989
4/1/2006,"1,299.45",166481.4141
5/1/2006,"1,286.02",166746.6986
6/1/2006,"1,254.99",167764.1614
7/1/2006,"1,252.48",168125.9002
8/1/2006,"1,284.02",168707.1575
9/1/2006,"1,315.61",169051.5796
10/1/2006,"1,358.28",168847.883
11/1/2006,"1,384.44",168719.3994
12/1/2006,"1,408.87",168901.7831
1/1/2007,"1,422.79",168897.1382
2/1/2007,"1,425.50",168860.4734
3/1/2007,"1,401.44",169060.6689
4/1/2007,"1,457.20",168960.8286
5/1/2007,"1,506.13",168643.0938
6/1/2007,"1,512.37",168379.1213
7/1/2007,"1,505.06",168087.4986
8/1/2007,"1,437.01",167999.5841
9/1/2007,"1,489.02",168126.7204
10/1/2007,"1,532.83",167058.8973
11/1/2007,"1,475.95",166916.0157
12/1/2007,"1,479.61",166195.1025
1/1/2008,"1,370.91",163345.2406
2/1/2008,"1,356.39",162570.2266
3/1/2008,"1,308.33",162180.4461
4/1/2008,"1,364.46",160970.4198
5/1/2008,"1,406.66",160129.4098
6/1/2008,"1,338.03",159128.375
7/1/2008,"1,246.31",157336.8893
8/1/2008,"1,280.30",157330.1323
9/1/2008,"1,204.72",155494.8791
10/1/2008,"1,003.42",155094.9084
11/1/2008,874.27,153770.6003
12/1/2008,867.27,152844.7045
1/1/2009,874.08,151963.8989
2/1/2009,804.77,151583.2044
3/1/2009,749.89,150336.6408
4/1/2009,836.01,149030.9849
5/1/2009,898.14,147622.8311
6/1/2009,922.55,147419.6527
7/1/2009,933,146608.8881
8/1/2009,"1,008.99",145810.9169
9/1/2009,"1,036.06",145230.6248
10/1/2009,"1,060.66",144755.066
11/1/2009,"1,071.54",144227.2811
12/1/2009,"1,108.14",143978.5472
1/1/2010,"1,111.02",143743.6856
2/1/2010,"1,078.46",143526.6771
3/1/2010,"1,143.03",143708.653
4/1/2010,"1,194.75",143753.3483
5/1/2010,"1,122.96",143380.4527
6/1/2010,"1,079.78",143421.113
7/1/2010,"1,065.93",142847.7854
8/1/2010,"1,084.47",142149.8173
9/1/2010,"1,103.44",140997.8001
10/1/2010,"1,164.01",140811.9668
11/1/2010,"1,200.04",139497.7462
12/1/2010,"1,224.60",138946.9296
1/1/2011,"1,280.15",138776.1201
2/1/2011,"1,316.61",137955.2875
3/1/2011,"1,290.67",137555.5185
4/1/2011,"1,329.63",136918.8901
5/1/2011,"1,341.19",136315.6579
6/1/2011,"1,301.64",135976.7971
7/1/2011,"1,319.67",136119.9852
8/1/2011,"1,204.46",136092.3898
9/1/2011,"1,171.76",135772.7614
10/1/2011,"1,183.72",135208.1791
11/1/2011,"1,218.11",134937.3895
12/1/2011,"1,235.87",134937.4671
1/1/2012,"1,296.17",135066.1655
2/1/2012,"1,345.25",134799.2823
3/1/2012,"1,379.59",134827.2506
4/1/2012,"1,389.88",135242.857
5/1/2012,"1,353.65",135674.692
6/1/2012,"1,315.10",136027.9062
7/1/2012,"1,358.58",136325.1247
8/1/2012,"1,390.67",136709.27
9/1/2012,"1,435.54",136850.9258
10/1/2012,"1,437.12",137316.0122
11/1/2012,"1,388.81",137724.5405
12/1/2012,"1,423.06",138204.6181
1/1/2013,"1,468.07",139178.9582
2/1/2013,"1,507.98",139562.9919
3/1/2013,"1,535.88",140181.8746
4/1/2013,"1,566.80",141144.4304
5/1/2013,"1,634.23",141578.4416
6/1/2013,"1,607.26",142363.0751
7/1/2013,"1,651.68",143015.3376
8/1/2013,"1,668.57",143955.7114
9/1/2013,"1,681.64",144811.8598
10/1/2013,"1,710.85",145137.4906
11/1/2013,"1,779.88",145598.7233
12/1/2013,"1,808.72",146015.9678
1/1/2014,"1,810.65",146577.0149
2/1/2014,"1,802.92",147321.888
3/1/2014,"1,859.21",147820.5795
4/1/2014,"1,855.82",148506.124
5/1/2014,"1,891.91",148993.4031
6/1/2014,"1,942.08",149591.6469
7/1/2014,"1,961.03",149860.7577
8/1/2014,"1,954.91",149893.2503
9/1/2014,"1,991.65",150341.5667
10/1/2014,"1,919.43",150878.4301
11/1/2014,"2,038.39",151299.4775
12/1/2014,"2,033.06",151802.9536
1/1/2015,"2,030.24",152715.2625
2/1/2015,"2,050.25",152870.5475
3/1/2015,"2,078.61",153693.0647
4/1/2015,"2,087.15",154685.3092
5/1/2015,"2,101.33",155453.1847
6/1/2015,"2,093.10",155877.0722
7/1/2015,"2,088.42",156399.794
8/1/2015,"1,989.84",157048.2709
9/1/2015,"1,946.39",157614.3068
10/1/2015,"1,994.01",158126.2205
11/1/2015,"2,067.94",158532.7003
12/1/2015,"2,048.77",159253.3488
1/1/2016,"1,925.25",159423.9124
2/1/2016,"1,886.53",160273.6732
3/1/2016,"2,004.65",160829.1741
4/1/2016,"2,072.43",161732.4317
5/1/2016,"2,064.70",162459.8085
6/1/2016,"2,056.12",163349.2936
7/1/2016,"2,125.56",163556.1819
8/1/2016,"2,170.70",164363.1206
9/1/2016,"2,153.50",164586.5192
10/1/2016,"2,142.17",165167.1383
11/1/2016,"2,148.95",165950.36
12/1/2016,"2,232.49",166545.7557
1/1/2017,"2,273.06",167370.4362
2/1/2017,"2,321.60",167904.6479
3/1/2017,"2,361.62",169010.8145
4/1/2017,"2,363.56",169887.0888
5/1/2017,"2,385.72",170342.9113
6/1/2017,"2,429.76",171889.3649
7/1/2017,"2,445.87",172201.221
8/1/2017,"2,454.11",172928.4575
9/1/2017,"2,483.00",173914.3343
10/1/2017,"2,551.69",174571.26
11/1/2017,"2,607.60",175505.379
12/1/2017,"2,650.25",176686.0082
1/1/2018,"2,777.62",177399.3591
2/1/2018,"2,684.33",178431.2146
3/1/2018,"2,693.90",179414.5069
