,,,,
DATE,OPEN,HIGH,LOW,CLOSE
2022-08-01,"4,112.38","4,325.28","3,954.53","3,955.00"
2022-07-01,"3,781.08","4,140.15","3,721.56","4,130.29"
2022-06-01,"4,149.78","4,177.51","3,636.87","3,785.38"
2022-05-01,"4,130.61","4,307.66","3,810.32","4,132.15"
2022-04-01,"4,540.32","4,593.45","4,124.28","4,131.93"
2022-03-01,"4,363.14","4,637.30","4,157.87","4,530.41"
2022-02-01,"4,519.57","4,595.31","4,114.65","4,373.94"
2022-01-01,"4,778.14","4,818.62","4,222.62","4,515.55"
2021-12-01,"4,602.82","4,808.93","4,495.12","4,766.18"
2021-11-01,"4,610.62","4,743.83","4,560.00","4,567.00"
2021-10-01,"4,317.16","4,608.08","4,278.94","4,605.38"
2021-09-01,"4,528.80","4,545.85","4,305.91","4,307.54"
2021-08-01,"4,406.86","4,537.36","4,367.73","4,522.68"
2021-07-01,"4,300.73","4,429.97","4,233.13","4,395.26"
2021-06-01,"4,216.52","4,302.43","4,164.40","4,297.50"
2021-05-01,"4,191.98","4,238.04","4,056.88","4,204.11"
2021-04-01,"3,992.78","4,218.78","3,992.78","4,181.17"
2021-03-01,"3,842.51","3,994.41","3,723.34","3,972.89"
2021-02-01,"3,731.17","3,950.43","3,725.62","3,811.15"
2021-01-01,"3,764.61","3,870.90","3,662.71","3,714.24"
2020-12-01,"3,645.87","3,760.20","3,633.40","3,756.07"
2020-11-01,"3,296.20","3,645.99","3,279.74","3,621.63"
2020-10-01,"3,385.87","3,549.85","3,233.94","3,269.96"
2020-09-01,"3,507.44","3,588.11","3,209.45","3,363.00"
2020-08-01,"3,288.26","3,514.77","3,284.53","3,500.31"
2020-07-01,"3,105.92","3,279.99","3,101.17","3,271.12"
2020-06-01,"3,038.78","3,233.13","2,965.66","3,100.29"
2020-05-01,"2,869.09","3,068.67","2,766.64","3,044.31"
2020-04-01,"2,498.08","2,954.86","2,447.49","2,912.43"
2020-03-01,"2,974.28","3,136.72","2,191.86","2,584.59"
2020-02-01,"3,235.66","3,393.52","2,855.84","2,954.22"
2020-01-01,"3,244.67","3,337.77","3,214.64","3,225.52"
2019-12-01,"3,143.85","3,247.93","3,070.33","3,230.78"
2019-11-01,"3,050.72","3,154.26","3,050.72","3,140.98"
2019-10-01,"2,983.69","3,050.10","2,855.94","3,037.56"
2019-09-01,"2,909.01","3,021.99","2,891.85","2,976.74"
2019-08-01,"2,980.32","3,013.59","2,822.12","2,926.46"
2019-07-01,"2,971.41","3,027.98","2,952.22","2,980.38"
2019-06-01,"2,751.53","2,964.15","2,728.81","2,941.76"
2019-05-01,"2,952.33","2,954.13","2,750.52","2,752.06"
2019-04-01,"2,848.63","2,949.52","2,848.63","2,945.83"
2019-03-01,"2,798.22","2,860.31","2,722.27","2,834.40"
2019-02-01,"2,702.32","2,813.49","2,681.83","2,784.49"
2019-01-01,"2,476.96","2,708.95","2,443.96","2,704.10"
2018-12-01,"2,790.50","2,800.18","2,346.58","2,506.85"
2018-11-01,"2,717.58","2,815.15","2,631.09","2,760.17"
2018-10-01,"2,926.29","2,939.86","2,603.54","2,711.74"
2018-09-01,"2,896.96","2,940.91","2,864.12","2,913.98"
2018-08-01,"2,821.17","2,916.50","2,796.34","2,901.52"
2018-07-01,"2,704.95","2,848.03","2,698.95","2,816.29"
2018-06-01,"2,718.70","2,791.47","2,691.99","2,718.37"
2018-05-01,"2,643.64","2,742.24","2,594.62","2,705.27"
2018-04-01,"2,633.45","2,717.49","2,553.80","2,648.05"
2018-03-01,"2,715.22","2,801.90","2,585.89","2,640.87"
2018-02-01,"2,816.45","2,835.96","2,532.69","2,713.83"
2018-01-01,"2,683.73","2,872.87","2,682.36","2,823.81"
2017-12-01,"2,645.10","2,694.97","2,605.52","2,673.61"
2017-11-01,"2,583.21","2,657.74","2,557.45","2,647.58"
2017-10-01,"2,521.20","2,582.98","2,520.40","2,575.26"
2017-09-01,"2,474.42","2,519.44","2,446.55","2,519.36"
2017-08-01,"2,477.10","2,490.87","2,417.35","2,471.65"
2017-07-01,"2,431.39","2,484.04","2,407.70","2,470.30"
2017-06-01,"2,415.65","2,453.82","2,405.70","2,423.41"
2017-05-01,"2,388.50","2,418.71","2,352.72","2,411.80"
2017-04-01,"2,362.34","2,398.16","2,328.95","2,384.20"
2017-03-01,"2,380.13","2,400.98","2,322.25","2,362.72"
2017-02-01,"2,285.59","2,371.54","2,271.65","2,363.64"
2017-01-01,"2,251.57","2,300.99","2,245.13","2,278.87"
2016-12-01,"2,200.17","2,277.53","2,187.44","2,238.83"
2016-11-01,"2,128.68","2,214.10","2,083.79","2,198.81"
2016-10-01,"2,164.33","2,169.60","2,114.74","2,126.15"
2016-09-01,"2,171.33","2,187.87","2,119.12","2,168.27"
2016-08-01,"2,173.15","2,193.81","2,147.58","2,170.95"
2016-07-01,"2,099.34","2,177.09","2,074.02","2,173.60"
2016-06-01,"2,093.94","2,120.55","1,991.68","2,098.86"
2016-05-01,"2,067.17","2,103.48","2,025.91","2,096.96"
2016-04-01,"2,056.62","2,111.05","2,033.80","2,065.30"
2016-03-01,"1,937.09","2,072.21","1,937.09","2,059.74"
2016-02-01,"1,936.94","1,962.96","1,810.10","1,932.23"
2016-01-01,"2,038.20","2,038.20","1,812.29","1,940.24"
2015-12-01,"2,082.93","2,104.27","1,993.26","2,043.94"
2015-11-01,"2,080.76","2,116.48","2,019.39","2,080.41"
2015-10-01,"1,919.65","2,094.32","1,893.70","2,079.36"
2015-09-01,"1,970.09","2,020.86","1,871.91","1,920.03"
2015-08-01,"2,104.49","2,112.66","1,867.01","1,972.18"
2015-07-01,"2,067.00","2,132.82","2,044.02","2,103.84"
2015-06-01,"2,108.64","2,129.87","2,056.32","2,063.11"
2015-05-01,"2,087.38","2,134.72","2,067.93","2,107.39"
2015-04-01,"2,067.63","2,125.92","2,048.38","2,085.51"
2015-03-01,"2,105.23","2,117.52","2,039.69","2,067.89"
2015-02-01,"1,996.67","2,119.59","1,980.90","2,104.50"
2015-01-01,"2,058.90","2,072.36","1,988.12","1,994.99"
2014-12-01,"2,065.78","2,093.55","1,972.56","2,058.90"
2014-11-01,"2,018.21","2,075.76","2,001.01","2,067.56"
2014-10-01,"1,971.44","2,018.19","1,820.66","2,018.05"
2014-09-01,"2,004.07","2,019.26","1,964.04","1,972.29"
2014-08-01,"1,929.80","2,005.04","1,904.78","2,003.37"
2014-07-01,"1,962.29","1,991.39","1,930.67","1,930.67"
2014-06-01,"1,923.87","1,968.17","1,915.98","1,960.23"
2014-05-01,"1,884.39","1,924.03","1,859.79","1,923.57"
2014-04-01,"1,873.96","1,897.28","1,814.36","1,883.95"
2014-03-01,"1,857.68","1,883.97","1,834.44","1,872.34"
2014-02-01,"1,782.68","1,867.92","1,737.92","1,859.45"
2014-01-01,"1,845.86","1,850.84","1,770.45","1,782.59"
2013-12-01,"1,806.55","1,849.44","1,767.99","1,848.36"
2013-11-01,"1,758.70","1,813.55","1,746.20","1,805.81"
2013-10-01,"1,682.41","1,775.22","1,646.47","1,756.54"
2013-09-01,"1,635.95","1,729.86","1,633.41","1,681.55"
2013-08-01,"1,689.42","1,709.67","1,627.47","1,632.97"
2013-07-01,"1,609.78","1,698.78","1,604.57","1,685.73"
2013-06-01,"1,631.71","1,654.19","1,560.33","1,606.28"
2013-05-01,"1,597.55","1,687.18","1,581.28","1,630.74"
2013-04-01,"1,569.18","1,597.57","1,536.03","1,597.57"
2013-03-01,"1,514.68","1,570.28","1,501.48","1,569.19"
2013-02-01,"1,498.11","1,530.94","1,485.01","1,514.68"
2013-01-01,"1,426.19","1,509.94","1,426.19","1,498.11"
2012-12-01,"1,416.34","1,448.00","1,398.11","1,426.19"
2012-11-01,"1,410.99","1,434.27","1,343.35","1,416.18"
2012-10-01,"1,440.90","1,470.96","1,403.28","1,412.16"
2012-09-01,"1,406.54","1,474.51","1,396.56","1,440.67"
2012-08-01,"1,379.32","1,426.68","1,354.65","1,406.58"
2012-07-01,"1,362.33","1,391.74","1,325.41","1,379.32"
2012-06-01,"1,309.87","1,363.46","1,266.74","1,362.16"
2012-05-01,"1,397.86","1,415.32","1,291.98","1,310.33"
2012-04-01,"1,408.47","1,422.38","1,357.38","1,397.91"
2012-03-01,"1,365.90","1,419.15","1,340.03","1,408.47"
2012-02-01,"1,312.45","1,378.04","1,312.45","1,365.68"
2012-01-01,"1,258.86","1,333.47","1,258.86","1,312.41"
2011-12-01,"1,246.91","1,269.37","1,202.37","1,257.60"
2011-11-01,"1,251.00","1,277.55","1,158.66","1,246.96"
2011-10-01,"1,131.21","1,292.66","1,074.77","1,253.30"
2011-09-01,"1,219.12","1,229.29","1,114.22","1,131.42"
2011-08-01,"1,292.59","1,307.38","1,101.54","1,218.89"
2011-07-01,"1,320.64","1,356.48","1,282.86","1,292.28"
2011-06-01,"1,345.20","1,345.20","1,258.07","1,320.64"
2011-05-01,"1,365.21","1,370.58","1,311.80","1,345.20"
2011-04-01,"1,329.48","1,364.56","1,294.70","1,363.61"
2011-03-01,"1,328.64","1,332.28","1,249.05","1,325.83"
2011-02-01,"1,289.14","1,344.07","1,289.14","1,327.22"
2011-01-01,"1,257.62","1,302.67","1,257.62","1,286.12"
2010-12-01,"1,186.60","1,262.60","1,186.60","1,257.64"
